sid,Country,Region,construction_period_start,construction_period_end,steel,copper,aluminum,unspecified_metal,wood,paper_cardboard,straw,concrete,cement,aggregates,brick,mortar_plaster,mineral_fill,plaster_board_gypsum,Adobe,asphalt,bitumen,natural_stone,cement_asbestos,Clay,glass,siding_unspecified,Ceramics,plastics,polystyrene,PVC,Linoleum,Carpet,Heraklith,mineral wool,insulation_unspecified,other_unspecified_material,building_description,no_floors,occupation,building_type,measurement_type,urban_rural,floor_area_type,Authors,publication_year,publication_title,publication_outlet,copyright_publication,DOI,URL,comment_scope,comment_conversion,comment_aggregation,comment_primary,comment_secondary,data_entry,global_region,climate_classification,equator_distance,heating_degree_days_0,heating_degree_days_1,cooling_degree_days_0,cooling_degree_days_1,country_land_area,population_0,population_1,urbanization_0,urbanization_1,gdp_0,gdp_1,hdi_0,hdi_1
11,CA,TOR,2009,2009,3457571.3136530006,0,0.0,0,0.0,0,0,96226976.47999994,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,,34,,OFF,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,33628895.0,33628895.0,0.2,0.2,1371150000000.0,1371150000000.0,,
12,CA,TOR,1917,1917,314.88480000000004,0,0.0,0,13839.221000000001,0,0,118990.76000000001,0.0,21457.0,13691.1,3495.77,0,5000.094999999999,0,1027.34,1466.74,0.0,0,0,121.7367,0.0,0,1488.454,0,0,0,0,0,1993.1639999999998,207.912,210.6351,,5,,SMR,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,,,,,,,,
13,CA,TOR,2021,2021,38.090740000000004,0,0.0,0,18147.1232,0,0,73693.17500000002,0.0,14904.1,17914.8,5944.95,0,5420.378,0,1197.41,1062.08,6599.91,0,0,517.1181,0.0,0,126.90995000000001,0,0,0,0,0,3999.3509280000003,24.9209,236.16070000000002,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
14,CA,TOR,2021,2021,395.8989,0,0.0,0,40541.79320000001,0,0,248066.69600000003,0.0,59227.3,0.0,4258.27,0,12996.744999999999,0,2687.84,4102.54,25780.0,0,0,5212.777999999999,7662.29,0,252.01020999999997,0,0,0,0,0,5368.6720000000005,712.652,433.16886,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
15,CA,TOR,2021,2021,93.91696,0,0.0,0,29382.747499999998,0,0,166149.76,0.0,21793.976,24052.8,6518.18,0,9994.762,0,1122.805,1971.37,0.0,0,0,2502.134,0.0,0,219.86026,0,0,0,0,0,5689.10734,125.731,73.4784,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
16,CA,TOR,2021,2021,3279.6082,0,0.0,0,48218.25970000001,0,0,221172.13999999998,0.0,57971.899999999994,35435.7,12922.6,0,15035.430999999999,0,3359.3,2601.96,24897.5,0,0,2350.83,0.0,0,187.5486,0,0,0,0,0,9538.488,0.0,499.52891999999997,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
17,CA,TOR,1969,1969,179.0708,0,0.0,0,31926.5892,0,0,126703.971,0.0,34684.9,24001.5,909.522,0,8631.862000000001,0,1573.2,0.0,3490.49,0,0,322.5438,4871.87,0,5513.22864,0,0,0,0,0,1928.571203,0.0,156.6641,,5,,SNR,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,21001000.0,21001000.0,0.74,0.74,79148411662.0,79148411662.0,,
18,CA,TOR,1969,1969,398.05049999999994,0,34.6112,0,21272.1153,0,0,152376.5,242.52,32260.3,0.0,3597.6,0,7198.741000000001,0,1358.36,0.0,18618.9,0,0,1154.653,5750.52,0,774.3377,0,0,0,0,0,4592.608,0.0,312.10929999999996,,5,,SNR,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,21001000.0,21001000.0,0.74,0.74,79148411662.0,79148411662.0,,
19,CA,TOR,2021,2021,305.303,0,0.0,0,20016.1058,0,0,87520.92000000001,0.0,16359.6,0.0,813.93,0,5896.378999999999,0,0.0,1680.86,3123.63,0,0,378.5837,4230.98,0,77.02825,0,0,0,0,0,3877.252,1123.8501,119.3024,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
20,CA,TOR,2021,2021,142.33175,0,0.0,0,24645.360011000008,0,0,73131.033,0.0,27470.7,33794.2,9158.01,0,8595.423999999999,0,1539.15,836.633,0.0,0,0,532.399,646.623,0,73.76273,0,0,0,0,0,6361.4619999999995,41.1282,212.114,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
21,CA,TOR,2020,2020,289.63300000000004,0,0.0,0,44852.2435,0,0,327284.875,0.0,56472.3,0.0,7074.26,0,18897.274999999998,0,3734.49,5400.16,42828.1,0,0,3154.949,7502.64,0,212.04078299999998,0,0,0,0,0,12452.325800000002,82.1075,470.13570000000004,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,38005238.0,38005238.0,0.13,0.13,1736430000000.0,1736430000000.0,,
